[BrainBitSignalData(PackNum=71, Marker=0, O1=-0.02759020575542999, O2=0.4, T3=-0.027723338816965884, T4=0.37706487375724196), BrainBitSignalData(PackNum=71, Marker=0, O1=-0.015090575304580026, O2=0.38749998807905967, T3=-0.01522370836611592, T4=0.36456486183630166)]
[BrainBitSignalData(PackNum=72, Marker=0, O1=0.03672565147938869, O2=0.12988789547719523, T3=0.06509253033879313, T4=0.10593844026416804), BrainBitSignalData(PackNum=72, Marker=0, O1=0.02422563955844837, O2=0.1423875259280452, T3=0.0525925184178528, T4=0.11843807071501801)]
[BrainBitSignalData(PackNum=73, Marker=0, O1=-0.037706792551796486, O2=0.4, T3=-0.03802760889778986, T4=0.4), BrainBitSignalData(PackNum=73, Marker=0, O1=-0.025207162100946524, O2=0.38749998807905967, T3=-0.025527978446939895, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=74, Marker=0, O1=0.04803776553894571, O2=0.09644708294590278, T3=0.07506415850082254, T4=0.07722442362253534), BrainBitSignalData(PackNum=74, Marker=0, O1=0.03553775361800539, O2=0.10894671339675274, T3=0.06256414657988223, T4=0.08972405407338531)]
[BrainBitSignalData(PackNum=75, Marker=0, O1=-0.045319409675035165, O2=0.4, T3=-0.045563932002956394, T4=0.4), BrainBitSignalData(PackNum=75, Marker=0, O1=-0.032819779224185205, O2=0.38749998807905967, T3=-0.033064301552106434, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=76, Marker=0, O1=0.05630345945688196, O2=0.07796142383711227, T3=0.08126648069999762, T4=0.06056600624657273), BrainBitSignalData(PackNum=76, Marker=0, O1=0.043803447535941634, O2=0.09046105428796224, T3=0.06876646877905729, T4=0.07306563669742269)]
[BrainBitSignalData(PackNum=77, Marker=0, O1=-0.050612688648880626, O2=0.4, T3=-0.05004925732541783, T4=0.4), BrainBitSignalData(PackNum=77, Marker=0, O1=-0.03811305819803066, O2=0.38749998807905967, T3=-0.037549626874567865, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=78, Marker=0, O1=0.061293851178981, O2=0.07586448275039935, T3=0.08341415730872852, T4=0.05695844360203133), BrainBitSignalData(PackNum=78, Marker=0, O1=0.04879383925804068, O2=0.08836411320124932, T3=0.07091414538778819, T4=0.06945807405288129)]
[BrainBitSignalData(PackNum=79, Marker=0, O1=-0.05313268006580359, O2=0.4, T3=-0.05105557542378943, T4=0.4), BrainBitSignalData(PackNum=79, Marker=0, O1=-0.04063304961495363, O2=0.38749998807905967, T3=-0.03855594497293947, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=80, Marker=0, O1=0.062189161481057624, O2=0.09019326228452901, T3=0.08087585532746823, T4=0.06636511456023651), BrainBitSignalData(PackNum=80, Marker=0, O1=0.0496891495601173, O2=0.10269289273537897, T3=0.06837584340652791, T4=0.07886474501108648)]
[BrainBitSignalData(PackNum=81, Marker=0, O1=-0.052690556231075505, O2=0.4, T3=-0.04874081491548053, T4=0.4), BrainBitSignalData(PackNum=81, Marker=0, O1=-0.040190925780225546, O2=0.4, T3=-0.03624118446463057, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=82, Marker=0, O1=0.05907712848389481, O2=0.11898624323486637, T3=0.07442405168919725, T4=0.08765839353408197), BrainBitSignalData(PackNum=82, Marker=0, O1=0.04657711656295449, O2=0.13148587368571632, T3=0.061924039768256924, T4=0.10015802398493194)]
[BrainBitSignalData(PackNum=83, Marker=0, O1=-0.049533509763250126, O2=0.4, T3=-0.042103616813294234, T4=0.39891471759292374), BrainBitSignalData(PackNum=83, Marker=0, O1=-0.03703387931240016, O2=0.4, T3=-0.02960398636244427, T4=0.38641470567198344)]
[BrainBitSignalData(PackNum=84, Marker=0, O1=0.05245137448441933, O2=0.15960899315738025, T3=0.0645722051355411, T4=0.11916553417733591), BrainBitSignalData(PackNum=84, Marker=0, O1=0.03995136256347901, O2=0.14710898123643992, T3=0.06371084567150657, T4=0.10666552225639558)]
[BrainBitSignalData(PackNum=85, Marker=0, O1=-0.042653315213504045, O2=0.4, T3=-0.03136981141072408, T4=0.36755367999427796), BrainBitSignalData(PackNum=85, Marker=0, O1=-0.03767398612402546, O2=0.4, T3=-0.03809055146269938, T4=0.3800533104451279)]
